file,sentence,word,consonant,cog,duration,prev,foll
common_voice_sw_38021900-04-002,kampala city akuna jamhuri ya kidemokrasia ya kongo,city,s,4895.883498679397,0.06399999999999995,ɑ,i
common_voice_sw_38021900-04-002,kampala city akuna jamhuri ya kidemokrasia ya kongo,jamhuri,h,416.1480275330162,0.10199999999999987,m,u
common_voice_sw_38021900-04-002,kampala city akuna jamhuri ya kidemokrasia ya kongo,kidemokrasia,s,5888.437465294214,0.1499999999999999,ɑ,i
common_voice_sw_38021900-04-004,wakati upande madhehebu ya wasuni,madhehebu,ð,492.05191982134767,0.07200000000000006,ɑ,ɛ
common_voice_sw_38021900-04-004,wakati upande madhehebu ya wasuni,madhehebu,h,767.7532427948571,0.07199999999999984,ɛ,ɛ
common_voice_sw_38021900-04-006,nilikata mahusiano ya kidiplomasia mwaka 2016,mahusiano,h,605.4037504995347,0.07200000000000006,ɑ,u
common_voice_sw_38021900-04-006,nilikata mahusiano ya kidiplomasia mwaka 2016,mahusiano,s,5794.360450515679,0.15899999999999992,u,i
common_voice_sw_38021900-04-006,nilikata mahusiano ya kidiplomasia mwaka 2016,kidiplomasia,s,5792.659859333933,0.13300000000000023,ɑ,i
common_voice_sw_38021900-04-008,hawawezi kuendelea,hawawezi,h,690.8131782879941,0.01200000000000001,#,ɑ
common_voice_sw_38021900-04-008,hawawezi kuendelea,hawawezi,z,772.115544493052,0.07000000000000006,ɛ,i
common_voice_sw_38021900-04-010,kuendesha operesheni zao za bahari,kuendesha,ʃ,5798.745489153501,0.10799999999999998,ɛ,ɑ
common_voice_sw_38021900-04-010,kuendesha operesheni zao za bahari,operesheni,ʃ,5463.199921949211,0.10000000000000009,ɛ,ɛ
common_voice_sw_38021900-04-010,kuendesha operesheni zao za bahari,zao,z,2711.584987103509,0.1200000000000001,i,ɑ
common_voice_sw_38021900-04-010,kuendesha operesheni zao za bahari,za,z,3787.201702244166,0.08299999999999996,ɔ,ɑ
common_voice_sw_38021900-04-010,kuendesha operesheni zao za bahari,bahari,h,1713.3288127719961,0.09200000000000008,ɑ,ɑ
common_voice_sw_38021900-04-012,silaha hizo zinadaiwa kutumika katika mashambulizi,silaha,s,6521.332834864124,0.14800000000000002,#,i
common_voice_sw_38021900-04-012,silaha hizo zinadaiwa kutumika katika mashambulizi,silaha,h,1513.5530483217522,0.03199999999999997,ɑ,ɑ
common_voice_sw_38021900-04-012,silaha hizo zinadaiwa kutumika katika mashambulizi,hizo,h,996.2161473389135,0.04400000000000004,ɑ,i
common_voice_sw_38021900-04-012,silaha hizo zinadaiwa kutumika katika mashambulizi,hizo,z,1595.422460721362,0.06799999999999995,i,ɔ
common_voice_sw_38021900-04-012,silaha hizo zinadaiwa kutumika katika mashambulizi,mashambulizi,ʃ,4398.853675383596,0.09800000000000031,ɑ,ɑ
common_voice_sw_38021900-04-012,silaha hizo zinadaiwa kutumika katika mashambulizi,mashambulizi,z,2630.3950625271577,0.1280000000000001,i,i
common_voice_sw_38021900-04-014,kwenye vijiji,vijiji,v,277.91903169372256,0.10499999999999998,#,i
common_voice_sq_38022033-36-002,ugonjwa wa homa ya mapafu kwa kondoo na mbuzi,homa,h,1124.8969737339173,0.061999999999999944,ɑ,ɔ
common_voice_sq_38022033-36-002,ugonjwa wa homa ya mapafu kwa kondoo na mbuzi,mapafu,f,4952.987090989083,0.1200000000000001,ɑ,u
common_voice_sq_38022033-36-002,ugonjwa wa homa ya mapafu kwa kondoo na mbuzi,mbuzi,z,7338.375734938614,0.1299999999999999,u,i
common_voice_sq_38022033-36-004,takriban watu elfu sitini na nane kufa kila mwaka nchini uganda,elfu,f,5702.502000686421,0.1180000000000001,l,u
common_voice_sq_38022033-36-004,takriban watu elfu sitini na nane kufa kila mwaka nchini uganda,sitini,s,6375.237977886807,0.125,u,i
common_voice_sq_38022033-36-004,takriban watu elfu sitini na nane kufa kila mwaka nchini uganda,kufa,f,5512.5862167689,0.121,u,ɑ
common_voice_sq_38022033-36-006,sehemu ya chini ya miguu na hata kwenye matiti ya mama anayenyonyesha,sehemu,s,8014.192848864536,0.16,#,ɛ
common_voice_sq_38022033-36-006,sehemu ya chini ya miguu na hata kwenye matiti ya mama anayenyonyesha,sehemu,h,1321.2250527435365,0.09199999999999997,ɛ,ɛ
common_voice_sq_38022033-36-006,sehemu ya chini ya miguu na hata kwenye matiti ya mama anayenyonyesha,hata,h,2181.8569988086965,0.10000000000000009,ɑ,ɑ
common_voice_sq_38022135-39-002,wanajeshi wa marekani wasaidia 5 wamehamishiwa kuingia somalia kukabiliana na al shabab,wanajeshi,ʃ,6774.806274948712,0.16799999999999998,ɛ,i
common_voice_sq_38022135-39-002,wanajeshi wa marekani wasaidia 5 wamehamishiwa kuingia somalia kukabiliana na al shabab,somalia,s,7371.402725746628,0.13800000000000034,ɑ,ɔ
common_voice_sq_38022135-39-002,wanajeshi wa marekani wasaidia 5 wamehamishiwa kuingia somalia kukabiliana na al shabab,shabab,ʃ,6021.682824055693,0.12799999999999923,l,ɑ
common_voice_sq_38022135-39-004,boti hiyo ya kamati wakiti wanapendelea suala hilo lipelekwe ngazi ya juu zaidi,hiyo,h,5499.600601378773,0.08000000000000002,i,i
common_voice_sq_38022135-39-004,boti hiyo ya kamati wakiti wanapendelea suala hilo lipelekwe ngazi ya juu zaidi,suala,s,7627.035342152543,0.1120000000000001,ɑ,u
common_voice_sq_38022135-39-004,boti hiyo ya kamati wakiti wanapendelea suala hilo lipelekwe ngazi ya juu zaidi,hilo,h,1858.9055785773407,0.09200000000000008,ɑ,i
common_voice_sq_38022135-39-004,boti hiyo ya kamati wakiti wanapendelea suala hilo lipelekwe ngazi ya juu zaidi,ngazi,z,7521.244095483875,0.1039999999999992,ɑ,i
common_voice_sq_38022135-39-004,boti hiyo ya kamati wakiti wanapendelea suala hilo lipelekwe ngazi ya juu zaidi,zaidi,z,7326.4788363731195,0.11699999999999999,uː,ɑ
common_voice_sq_38022135-39-006,pacha wa uduma ni mashahidi walisema,mashahidi,ʃ,6275.186842638384,0.08299999999999974,ɑ,ɑ
common_voice_sq_38022135-39-006,pacha wa uduma ni mashahidi walisema,mashahidi,h,1790.670835566885,0.08999999999999986,ɑ,i
common_voice_sq_38022135-39-006,pacha wa uduma ni mashahidi walisema,walisema,s,7940.124968399335,0.14399999999999968,i,ɛ
common_voice_sq_38022135-39-008,silaha ambayo yanaongeza mvutano ndani na kuzunguka tripoli,silaha,s,7763.80982533736,0.029000000000000026,#,i
common_voice_sq_38022135-39-008,silaha ambayo yanaongeza mvutano ndani na kuzunguka tripoli,silaha,h,1628.9901329329955,0.1419999999999999,ɑ,ɑ
common_voice_sq_38022135-39-008,silaha ambayo yanaongeza mvutano ndani na kuzunguka tripoli,mvutano,v,2089.0914791852,0.052000000000000046,ɱ,u
common_voice_sq_38022135-39-008,silaha ambayo yanaongeza mvutano ndani na kuzunguka tripoli,kuzunguka,z,6819.237679940866,0.09700000000000042,u,u
common_voice_sq_38022135-39-010,hatua ya saudi arabia dhidi ya kuwanyonga raia ili machafuko katika eneo hilo hapo awali,hatua,h,3078.5431763385186,0.09699999999999999,#,ɑ
common_voice_sq_38022135-39-010,hatua ya saudi arabia dhidi ya kuwanyonga raia ili machafuko katika eneo hilo hapo awali,saudi,s,7774.659232170008,0.11399999999999999,ɑ,ɑ
common_voice_sq_38022135-39-010,hatua ya saudi arabia dhidi ya kuwanyonga raia ili machafuko katika eneo hilo hapo awali,dhidi,ð,978.4648722753254,0.14900000000000002,ɑ,i
common_voice_sq_38022135-39-010,hatua ya saudi arabia dhidi ya kuwanyonga raia ili machafuko katika eneo hilo hapo awali,machafuko,f,6428.983779018054,0.12400000000000055,ɑ,u
common_voice_sq_38022135-39-010,hatua ya saudi arabia dhidi ya kuwanyonga raia ili machafuko katika eneo hilo hapo awali,hilo,h,425.9982135370839,0.06400000000000006,ɔ,i
common_voice_sq_38022135-39-010,hatua ya saudi arabia dhidi ya kuwanyonga raia ili machafuko katika eneo hilo hapo awali,hapo,h,963.5310712598318,0.014000000000000234,#,ɑ
