file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35
common_voice_sw_38021900-04-002_0001,259,0.098,ɑ,25,Magenta,1,3316,429,679,1747,602,809,1568,749,1032,1541,489,1042,1496,497,1054,1496
common_voice_sw_38021900-04-002_0002,218.6,0.37,ɑ,25,Magenta,2,5000,780,1562,2585,872,1454,1945,735,1700,2202,783,1540,2388,802,1707,2172
common_voice_sw_38021900-04-002_0003,257.3,0.086,ɑ,25,Magenta,3,4789,605,1773,2011,784,1694,2159,792,1780,2097,765,1752,2186,670,1739,2182
common_voice_sw_38021900-04-002_0004,252.4,0.07,i,19,Red,4,4684,413,1600,1782,561,1334,1790,672,1763,2327,640,1820,2421,682,1778,2566
common_voice_sw_38021900-04-002_0005,276.8,0.028,i,19,Red,5,4053,341,954,1679,359,928,1768,378,857,1761,335,558,1680,308,551,1570
common_voice_sw_38021900-04-002_0006,217.1,0.068,ɑ,25,Magenta,6,3421,449,1450,2377,458,833,2170,511,627,2052,578,600,1999,582,718,1726
common_voice_sw_38021900-04-002_0007,248.8,0.08,u,23,Olive,7,4895,445,696,2242,456,721,2213,491,769,2300,518,1013,2254,524,1075,2669
common_voice_sw_38021900-04-002_0008,239.9,0.04,ɑ,25,Magenta,8,4684,636,1929,2366,643,2251,2332,623,2319,2535,571,2382,2478,456,2328,2616
common_voice_sw_38021900-04-002_0009,220.1,0.034,i,19,Red,9,3947,292,1539,2236,329,1484,2505,388,1507,2538,431,1751,2485,374,1953,2344
common_voice_sw_38021900-04-002_0010,202.4,0.046,ɛ,28,Purple,10,4895,329,1856,2236,402,1817,2416,411,2130,2440,417,2266,2722,480,2187,2409
common_voice_sw_38021900-04-002_0011,198.1,0.06,ɔ,30,Navy,11,4368,383,1228,1650,568,1303,1766,586,1274,2557,578,1050,2061,242,652,1237
common_voice_sw_38021900-04-002_0012,198.6,0.06,ɑ,25,Magenta,12,4895,627,1689,2270,690,1773,2443,729,1779,2488,715,1779,2360,668,1799,2325
common_voice_sw_38021900-04-002_0013,251.5,0.074,i,19,Red,13,4789,834,2362,2703,327,2538,2705,470,2641,3283,500,2476,2864,501,2456,2540
common_voice_sw_38021900-04-002_0014,217.5,0.034,ɑ,25,Magenta,14,4053,454,677,2252,484,679,2208,500,666,2181,534,660,2169,626,649,2139
common_voice_sw_38021900-04-002_0015,185.7,0.066,ɑ,25,Magenta,15,4895,749,1971,2452,756,1898,2378,754,1774,2273,698,1594,2663,582,1442,2630
common_voice_sw_38021900-04-002_0016,205.6,0.13,ɔ,30,Navy,16,3211,438,648,886,384,613,853,364,611,832,299,595,818,240,627,812
common_voice_sw_38021900-04-002_0017,174.5,0.102,ɔ,30,Navy,17,4684,416,749,1475,490,858,1673,506,870,2624,495,867,2641,481,1111,2419
common_voice_sw_38021900-04-004_0001,246.6,0.058,ɑ,25,Magenta,18,3947,720,794,1235,725,1170,1451,743,1253,2017,740,1294,2126,725,1547,1852
common_voice_sw_38021900-04-004_0002,257.4,0.11,ɑ,25,Magenta,19,4684,574,1654,1953,821,965,1954,863,1124,2048,737,1468,2118,651,1917,2173
common_voice_sw_38021900-04-004_0003,171.3,0.038,i,19,Red,20,3947,858,2190,2712,606,2185,2557,379,1090,2165,360,1129,2182,354,1160,2191
common_voice_sw_38021900-04-004_0004,297.4,0.084,u,23,Olive,21,4895,362,1161,2601,448,981,3119,530,956,3312,534,868,3464,461,878,2379
common_voice_sw_38021900-04-004_0005,307.1,0.102,ɑ,25,Magenta,22,4684,593,1392,2104,597,1238,2061,784,1486,1805,827,1844,2361,713,1864,2196
common_voice_sw_38021900-04-004_0006,306.8,0.07,ɛ,28,Purple,23,4895,347,1684,2192,497,2229,2446,595,2199,2600,600,2145,2537,590,1989,2310
common_voice_sw_38021900-04-004_0007,238.8,0.076,ɑ,25,Magenta,24,4789,540,1258,1909,632,1217,1699,791,1718,1889,651,1817,1868,586,1862,1900
common_voice_sw_38021900-04-004_0008,235,0.044,ɛ,28,Purple,25,4789,510,1979,2116,489,2123,2164,493,2167,2360,494,2301,2440,488,2306,2444
common_voice_sw_38021900-04-004_0009,268.5,0.108,ɛ,28,Purple,26,4158,354,1692,2502,528,1957,2370,547,1260,2351,562,873,2194,540,1134,1769
common_voice_sw_38021900-04-004_0010,273.3,0.044,u,23,Olive,27,3105,283,749,1071,322,649,873,320,628,921,360,627,1066,387,593,1200
common_voice_sw_38021900-04-004_0011,209.6,0.178,ɑ,25,Magenta,28,4789,732,1978,2374,824,1855,2138,816,1566,2264,780,1295,2908,565,975,2329
common_voice_sw_38021900-04-006_0001,227.4,0.048,ɑ,25,Magenta,29,4263,489,1382,2272,665,1459,2456,721,1400,2323,772,1253,2320,747,931,2226
common_voice_sw_38021900-04-006_0002,213.4,0.044,u,23,Olive,30,3737,457,837,1834,404,843,2014,424,833,2079,425,1028,2119,407,1207,2155
common_voice_sw_38021900-04-006_0003,271.2,0.066,i,19,Red,31,4789,441,2193,2629,335,2220,2743,461,2482,2688,507,2420,3030,515,2377,2477
common_voice_sw_38021900-04-006_0004,252.9,0.084,ɑ,25,Magenta,32,4053,503,738,2098,617,750,1988,741,1079,1981,750,1251,2049,776,1469,2172
common_voice_sw_38021900-04-006_0005,250.8,0.086,ɔ,30,Navy,33,3842,507,1390,1609,562,1288,1665,612,1250,1575,611,1215,1654,653,1207,1609
common_voice_sw_38021900-04-006_0006,213.6,0.032,ɑ,25,Magenta,34,4895,676,1170,1672,651,1743,2607,588,1814,2646,570,1835,2732,630,1753,3076
common_voice_sw_38021900-04-006_0007,222.5,0.048,i,19,Red,35,3526,530,1285,2786,486,2640,2938,445,2575,2889,431,2489,3024,453,2388,2955
common_voice_sw_38021900-04-006_0008,212.9,0.044,i,19,Red,36,4789,565,1650,2635,598,1634,2716,555,1641,2702,486,1633,2768,461,1592,2800
common_voice_sw_38021900-04-006_0009,211.7,0.088,ɔ,30,Navy,37,4263,436,989,1342,555,1232,1834,625,1184,1561,603,1157,1636,547,1289,1916
common_voice_sw_38021900-04-006_0010,206,0.088,ɑ,25,Magenta,38,3842,513,781,1348,805,1310,1629,821,1238,1683,498,801,1734,621,1429,1932
common_voice_sw_38021900-04-006_0011,270.6,0.06,i,19,Red,39,3316,308,2392,2588,294,2505,2814,356,2607,3161,472,2603,3411,532,2581,3380
common_voice_sw_38021900-04-006_0012,248.9,0.054,ɑ,25,Magenta,40,3947,522,656,2336,508,747,2273,553,734,1989,609,727,1669,711,1391,1943
common_voice_sw_38021900-04-006_0013,236.2,0.062,ɑ,25,Magenta,41,4789,776,1203,2048,764,1220,2019,629,1230,2304,514,1385,2419,467,1328,2436
common_voice_sw_38021900-04-008_0001,282.7,0.036,ɑ,25,Magenta,42,3000,539,829,1191,550,871,1195,530,867,1243,521,857,1305,512,846,1337
common_voice_sw_38021900-04-008_0003,318.1,0.068,i,19,Red,44,5000,329,1947,2193,454,1991,2549,513,1831,2471,507,1609,2658,476,1425,2706
common_voice_sw_38021900-04-008_0004,279.8,0.062,u,23,Olive,45,5000,302,970,1329,313,801,1879,277,503,857,509,780,2055,540,1342,2423
common_voice_sw_38021900-04-008_0005,256.5,0.04,ɛ,28,Purple,46,4789,526,1017,1441,520,899,1748,526,1556,1964,527,1864,2675,526,2000,2727
common_voice_sw_38021900-04-008_0006,246.9,0.092,ɛ,28,Purple,47,3421,398,571,2091,493,764,2192,498,811,2136,499,852,2077,490,852,2004
common_voice_sw_38021900-04-008_0007,310.7,0.17,ɛ,28,Purple,48,4579,476,1819,2882,585,1075,2372,611,2204,2425,621,2063,2298,598,1858,2296
common_voice_sw_38021900-04-008_0008,174.9,0.146,ɑ,25,Magenta,49,3632,414,998,1954,390,1042,2002,380,1040,1840,393,1058,1771,459,1135,1817
common_voice_sw_38021900-04-010_0001,281.7,0.054,u,23,Olive,50,5000,344,680,1729,344,699,1858,466,789,2292,550,1089,2362,549,1339,3042
common_voice_sw_38021900-04-010_0002,261.6,0.104,ɛ,28,Purple,51,3632,526,811,1662,521,771,1872,537,784,2002,535,862,2326,515,1158,2303
common_voice_sw_38021900-04-010_0003,293.7,0.104,ɛ,28,Purple,52,4895,479,2185,2464,580,2287,2322,607,2120,2469,607,2133,2514,513,2025,2429
common_voice_sw_38021900-04-010_0004,295.2,0.086,ɑ,25,Magenta,53,4789,524,1933,2407,586,1753,2441,703,1754,2656,776,1568,2800,735,1283,2464
common_voice_sw_38021900-04-010_0005,245.5,0.082,ɔ,30,Navy,54,4263,557,843,1485,536,857,1532,514,862,1712,480,850,1760,405,850,1703
common_voice_sw_38021900-04-010_0006,249.1,0.078,ɛ,28,Purple,55,5000,710,1622,2520,651,1079,2180,721,1404,2385,719,1616,2537,697,1649,2902
common_voice_sw_38021900-04-010_0007,265.8,0.106,ɛ,28,Purple,56,4684,515,1713,2487,537,1778,2499,571,1929,2405,560,1921,2418,517,2011,2414
common_voice_sw_38021900-04-010_0008,287.4,0.064,ɛ,28,Purple,57,4579,456,1598,2482,487,2290,2449,570,2199,2455,557,2097,2431,536,1985,2361
common_voice_sw_38021900-04-010_0009,257.3,0.068,i,19,Red,58,4579,482,1745,2304,504,2087,2388,504,2112,2333,493,2023,2335,483,1989,2476
common_voice_sw_38021900-04-010_0010,256,0.122,ɑ,25,Magenta,59,3842,508,925,1779,769,1376,1811,765,1271,1796,759,1294,1776,749,1366,1754
common_voice_sw_38021900-04-010_0011,240.2,0.096,ɔ,30,Navy,60,3842,717,1262,1707,698,1213,1787,646,1204,1518,545,923,1469,469,986,1477
common_voice_sw_38021900-04-010_0012,209.3,0.074,ɑ,25,Magenta,61,5000,675,1730,2659,685,1734,3068,756,1675,3259,792,1625,2961,737,1568,2964
common_voice_sw_38021900-04-010_0013,202,0.084,ɑ,25,Magenta,62,4895,682,1326,3035,813,1538,3007,814,1622,2975,869,1672,2758,930,1705,3051
common_voice_sw_38021900-04-010_0014,233.8,0.084,ɑ,25,Magenta,63,4684,974,1786,2254,930,1827,2308,911,1817,2569,876,1838,2614,762,1869,2795
common_voice_sw_38021900-04-010_0015,222.4,0.1,i,19,Red,64,4053,471,1875,2181,462,1832,2196,456,1886,2159,351,1543,2261,218,1526,2239
common_voice_sw_38021900-04-012_0001,273.1,0.05,i,19,Red,65,3421,338,2212,2519,387,2324,3079,466,2446,3221,517,2438,3229,527,2416,3180
common_voice_sw_38021900-04-012_0002,273.7,0.06,ɑ,25,Magenta,66,5000,552,1805,3006,632,1876,3193,820,1899,3201,840,1826,2147,851,1636,2089
common_voice_sw_38021900-04-012_0003,286,0.046,ɑ,25,Magenta,67,4895,911,1244,1683,931,1657,2959,944,1607,3149,926,982,2113,884,891,2320
common_voice_sw_38021900-04-012_0004,219.5,0.126,i,19,Red,68,3842,604,2510,2749,523,2520,3045,554,2482,2579,414,1018,2362,393,1215,2080
common_voice_sw_38021900-04-012_0005,178.1,0.066,ɔ,30,Navy,69,5000,394,1475,3417,549,1399,3316,631,1418,3303,634,1445,3393,616,1465,3381
common_voice_sw_38021900-04-012_0006,259.8,0.046,u,23,Olive,70,4053,342,920,1561,356,1034,1325,451,913,1315,449,591,1451,292,874,1516
common_voice_sw_38021900-04-012_0007,256.7,0.046,u,23,Olive,71,4789,465,1909,3078,469,1814,3036,513,1835,3010,509,1822,2931,506,1775,2863
common_voice_sw_38021900-04-012_0008,281.7,0.05,i,19,Red,72,4474,505,1681,2568,534,1718,2410,513,1927,2540,486,1965,2591,440,2000,2472
common_voice_sw_38021900-04-012_0009,291.7,0.066,ɑ,25,Magenta,73,4895,586,1822,2556,628,1783,2778,767,1767,2729,769,1715,2754,649,1683,2794
common_voice_sw_38021900-04-012_0010,234.3,0.07,ɑ,25,Magenta,74,4684,641,1529,1760,660,1729,3030,684,1755,2751,645,1870,2623,502,2128,2202
common_voice_sw_38021900-04-012_0011,269.8,0.076,i,19,Red,75,3316,683,2324,2554,357,2343,2702,466,2462,2986,507,2503,2990,478,2326,2852
common_voice_sw_38021900-04-012_0012,281.2,0.054,ɑ,25,Magenta,76,5000,510,1701,2941,640,1696,3014,740,1675,3070,797,1636,3056,774,1569,3045
common_voice_sw_38021900-04-012_0013,227.4,0.064,ɑ,25,Magenta,77,3842,548,1279,1546,554,1105,1643,545,745,1680,411,684,1775,556,1693,2516
common_voice_sw_38021900-04-012_0014,212.2,0.052,ɑ,25,Magenta,78,4789,380,1448,2566,482,1473,2577,585,1542,2712,679,1503,3101,548,1416,2479
common_voice_sw_38021900-04-012_0015,218.7,0.054,u,23,Olive,79,4895,332,729,2145,430,750,2443,432,880,2495,440,906,2471,434,1061,2618
common_voice_sw_38021900-04-012_0016,269.7,0.096,i,19,Red,80,3737,398,2527,2991,510,2405,2947,516,2549,3001,463,2295,2982,357,2189,2873
common_voice_sw_38021900-04-012_0017,300,0.184,i,19,Red,81,3632,333,2138,2564,404,1274,2555,400,2376,2629,346,2571,2950,319,961,2600
common_voice_sw_38021900-04-014_0001,246.7,0.054,ɛ,28,Purple,82,4158,613,1035,1555,620,1207,1754,574,1880,1904,535,1706,2419,489,1394,2422
common_voice_sw_38021900-04-014_0002,243.9,0.252,ɛ,28,Purple,83,4895,483,1876,2426,493,2437,2596,498,2458,2653,495,2304,2524,516,2178,2602
common_voice_sw_38021900-04-014_0003,243.6,0.09,i,19,Red,84,3526,330,1975,2609,487,2249,2630,491,2549,2759,446,2300,2773,370,2009,2778
common_voice_sw_38021900-04-014_0004,283.5,0.184,i,19,Red,85,4579,273,1723,2747,286,1974,2739,310,2370,2737,313,2310,2773,299,2440,2757
common_voice_sw_38021900-04-014_0005,212,0.18,i,19,Red,86,3947,221,1175,2600,234,2606,2682,352,2586,2904,312,2078,2716,207,1618,2663
common_voice_sw_38021900-04-016_0001,220.5,0.314,ɑ,25,Magenta,87,3842,441,1221,1974,639,1707,1916,768,1357,1787,725,1256,1761,804,1648,1747
