file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
common_voice_sw_38021900-04-002_0001,556.5,927.2,1571.4,-15.4,-191.9,110,-165.2,-84.5,48.9,-52.8,-13.8,31.5,52.7,6.6,22.9,16.7,-10,-1.9
common_voice_sw_38021900-04-002_0002,796.4,1540,2298,35,-116.3,105.6,2.3,-75.5,30.8,-64,-99.7,38.8,-113,-4.2,-188.2,-57.3,-215.1,-426.6
common_voice_sw_38021900-04-002_0003,727.9,1733.8,2128.4,-23.1,-25.3,-62,-97.5,-9.7,-12.7,-26.4,39,-31.3,-43.1,53.6,-49.9,-11,31.1,-27
common_voice_sw_38021900-04-002_0004,595.2,1673.1,2171.9,-120.7,-165.9,-415.7,-50.2,-17,-36.4,-28.2,108.4,-21,21.8,104.3,81.5,49.6,67.1,63.3
common_voice_sw_38021900-04-002_0005,345.5,773.3,1695.1,12.7,226,47.8,-29.2,-63.4,-80.2,5.1,-52.1,-3.5,0.6,16.4,-1.2,-8.2,-17.2,8.2
common_voice_sw_38021900-04-002_0006,512.5,882.4,2068.4,-82.2,376.3,291.4,2.3,276.7,-18.7,21.9,13.6,80,-11.1,-17,-18.9,-13.3,-74.7,-19
common_voice_sw_38021900-04-002_0007,484.8,853.8,2330.5,-48.4,-217.4,-147.8,-6.7,46.2,142.6,3.2,11.6,-110.5,-1.1,-32.1,134.4,-4.5,-4,-33.6
common_voice_sw_38021900-04-002_0008,584.8,2224.8,2472.6,87.3,-176.7,-120.6,-45.5,-148.7,1,11.1,-16.3,-15.5,-0.6,-46.5,63.3,-3,3,49.2
common_voice_sw_38021900-04-002_0009,363.9,1651.2,2418.3,-52.8,-218.2,-46.6,-33.7,116.3,-151.3,28.8,23.4,-33.1,-11.7,-25.9,-9.2,16.2,11.8,16.4
common_voice_sw_38021900-04-002_0010,407.2,2047.9,2445.4,-64.5,-220.3,-153.8,-8.2,-73.5,-74.2,-33.4,108.2,45.8,-12.7,17.9,-113.7,-5.3,-15.4,76.9
common_voice_sw_38021900-04-002_0011,452.2,1087.3,1823.1,59.3,288.7,111.4,-180.9,-192.4,-555.7,8.5,15.3,174.6,-31.5,34.2,188.9,-34.2,-31.1,-40.9
common_voice_sw_38021900-04-002_0012,683.9,1765.2,2372,-19.4,-46.1,-12.9,-47.7,-19.7,-91.5,-0.3,-23.7,-39.1,3.7,-11.2,19.9,-0.9,-2.7,26.4
common_voice_sw_38021900-04-002_0013,508.4,2491.6,2816.8,44,-14.4,2.4,117.8,-118.4,-282.3,129.9,-34.7,155.1,104.1,18.5,94.9,42.7,22.8,-88.3
common_voice_sw_38021900-04-002_0014,519.7,665.9,2190.7,-77.8,14.6,53.9,24.1,-3.2,8,-21.2,-0.9,14.4,2.1,-4.1,-4.1,11.4,-2.5,5.9
common_voice_sw_38021900-04-002_0015,705.7,1736.1,2468.4,86.3,271.7,-122.4,-62.5,-28.5,123.9,28.4,27.6,34.8,-22.3,-1.9,-77.3,26.9,11.4,20.2
common_voice_sw_38021900-04-002_0016,351.2,626.2,842.4,116,10.3,33,4.6,35.5,13.3,20.8,1.3,5.8,21.1,19.2,-3.5,5.1,1.6,-1.7
common_voice_sw_38021900-04-002_0017,475.5,903.1,2177.7,-26.8,-174,-574.2,-35.5,83.5,-315.8,-17.2,-129.7,126.3,-6.6,104.3,155.9,-7.2,-75.5,21.7
common_voice_sw_38021900-04-004_0001,722.7,1197.9,1743.8,-15.8,-333.9,-422.5,-25,-56.8,-259.1,-1.7,-111,120.9,-15.2,-1.4,46.3,-4.2,34.3,24.3
common_voice_sw_38021900-04-004_0002,714.4,1429.7,2066.5,12.1,-247.1,-101.6,-164.6,372.5,41,-9.4,168.3,34.8,-17.8,95.2,30.9,48.7,10.1,21.1
common_voice_sw_38021900-04-004_0003,525.4,1613.8,2359.7,266.7,653.4,262.6,113.2,106.7,124,-1.8,-230.8,-74.7,-52.1,-80.4,-117.6,-43.5,100.3,-124.2
common_voice_sw_38021900-04-004_0004,466.8,959,3013.4,-58,107.3,-28.4,-72.3,54.2,-509.3,9.8,21.5,118.4,-4,75.9,-180.3,22,39.2,69.7
common_voice_sw_38021900-04-004_0005,703.8,1577.2,2094.3,-90.7,-314.8,-105.5,-62.6,68,156,67.6,131.4,112.6,4.3,31.2,-137.8,11.6,16.2,-13.2
common_voice_sw_38021900-04-004_0006,522.7,2034.9,2420,-118.3,-96.5,-87.4,-72,-270.8,-194.4,-15.8,-115.1,24.4,1.7,-146.9,-18,6.5,-44.1,31.9
common_voice_sw_38021900-04-004_0007,645.5,1594.8,1867.3,-15.6,-341.5,-38.3,-141,-92.7,4.5,-37,49.7,32.8,8.2,62.8,68.3,19.6,69.6,99.4
common_voice_sw_38021900-04-004_0008,495,2173.8,2303.6,8.4,-169,-188.8,4.8,-21.4,-51.4,6.9,-15.6,37.2,0.7,-34.9,46.3,1,6.7,-52.3
common_voice_sw_38021900-04-004_0009,504.3,1410.8,2238.3,-82.3,454.3,311.7,-69.1,2.8,-91.4,-36.5,-329.8,66.7,-39.4,-53.6,26.9,-8.6,154.9,-17.5
common_voice_sw_38021900-04-004_0010,334.5,655.3,1031.6,-48.8,72.4,-100.6,3.2,27.7,145.9,-13.2,19,49.7,-6.5,-14.5,74.8,-14.1,-18.2,25.5
common_voice_sw_38021900-04-004_0011,747.4,1548.9,2418.6,69.6,505.2,-65.5,-100.6,-56.8,10.2,13.8,34.8,233.7,-36.7,-25.8,-278.8,-13.4,31,17.8
common_voice_sw_38021900-04-006_0001,671.3,1293.5,2315.3,-140.3,197.7,34.9,-65.2,-148,-76.1,-18,27.2,-32.1,-29.4,-32,-22.3,-4.4,37,30.8
common_voice_sw_38021900-04-006_0002,423.1,949.8,2037.4,14.5,-187.1,-146.9,9.1,99.9,-52.2,21.8,-17.9,-36,10.4,-25.8,7.7,5.1,16.5,-13.6
common_voice_sw_38021900-04-006_0003,446.5,2328,2758,-73.1,-115.9,-17.5,24.4,-65.8,-220.9,48.1,62.3,169,17.1,31.9,-53.7,-18.1,-27.7,-131.3
common_voice_sw_38021900-04-006_0004,680.5,1047.7,2058,-131.6,-383.2,-44.8,-60.1,28.5,91.1,-26.6,30,6.7,12.8,51.9,13.3,20.7,-45,3.8
common_voice_sw_38021900-04-006_0005,588.3,1272.2,1634.7,-62.5,81.7,-14.6,-14.1,33.5,1.3,-14.6,5.8,11.8,6.2,11.7,-66.8,-6.9,-8,23.4
common_voice_sw_38021900-04-006_0006,622.1,1672.8,2569.6,35.2,-222.6,-497.2,36.7,-214.2,-155.7,-24.1,-117.5,-271.4,0.4,-89.1,-101.3,-0.8,-59.2,-106.8
common_voice_sw_38021900-04-006_0007,471.8,2148.6,2887.2,43.2,-574.1,-71.2,25.3,-454.1,-58.2,-11.6,-84.8,6.1,-2.2,130.6,6.5,-15.2,198,7.8
common_voice_sw_38021900-04-006_0008,534,1630.6,2728.1,65.2,20.2,-86.7,-21,-9.7,4.2,-23.5,12.7,-18.8,-0.4,0.4,-35.2,-2.7,5.2,16
common_voice_sw_38021900-04-006_0009,553.3,1168.3,1686.6,-55.9,-114.7,-153.6,-66.3,-39.9,17,-3.3,-91.5,-213.5,-11.7,-13.4,-70.6,6,21.5,13.3
common_voice_sw_38021900-04-006_0010,640.3,1105.8,1653.4,27.4,-74.8,-241.8,-79.2,-16.1,-34.3,-166.9,-344.7,-89.6,-32.9,31.1,6.1,29.7,-8.7,-8.6
common_voice_sw_38021900-04-006_0011,391.7,2531.1,3072.7,-124,-103,-416.1,42.9,-78.4,-121.6,10.9,-12.4,-18.3,-3.8,-4.7,-45.7,15.9,6.4,28.7
common_voice_sw_38021900-04-006_0012,582.2,845.3,2019.5,-105.7,-274.6,308.8,41.4,158,96.4,0.4,-164.4,-132.2,-11.3,22.3,72.7,10,-8,-117.5
common_voice_sw_38021900-04-006_0013,632.5,1270.3,2247.2,177.2,-78.8,-244.3,-15.4,-5.7,-29,-30.2,38.3,54.3,-3.2,-39.6,19.8,7.4,14.1,-24.9
common_voice_sw_38021900-04-008_0001,530.4,854.1,1253.4,17,-4.3,-81,-4.3,-19.5,11.8,-4.6,-10.7,8.2,-6.2,-8.1,-0.1,0.3,-3.2,-2.8
common_voice_sw_38021900-04-008_0003,455.7,1675.8,2496.9,-79,81.5,-234.3,-58.8,-289.8,-78.4,-20.8,-198.4,-120.8,8.9,-165.6,-144.8,-0.2,-120.9,-15.6
common_voice_sw_38021900-04-008_0004,380.7,880.9,1831.5,-121.9,-94.5,-435.4,64.6,288.6,140.5,-26,-131,-359.7,-35.3,52.9,-50.6,46.7,55.6,75.8
common_voice_sw_38021900-04-008_0005,523.4,1417.7,2097.4,-3.4,-665.9,-712.7,-2.5,3.2,21.1,0.4,143.2,42.9,-1.9,-23.9,-115.1,-3.1,-167.4,-15.2
common_voice_sw_38021900-04-008_0006,470.4,761.5,2099.2,-44.6,-131.4,61.2,-48.4,-65.3,-60.3,-33.5,-13.1,-16.2,-35.2,3,-29.1,-23.1,36.2,0.9
common_voice_sw_38021900-04-008_0007,583.4,1860.6,2452.5,-48.7,-164.9,236.6,-36.9,-37.8,126.3,-21.1,371.3,104.8,-11.5,319,115.9,-12.6,200.8,54.9
common_voice_sw_38021900-04-008_0008,406.2,1055.2,1878.6,-19.1,-57.6,110.1,37.8,14.8,5,-17.2,-27.9,-56.8,18,-2,-18.5,-10.1,-10.2,21.4
common_voice_sw_38021900-04-010_0001,456.6,903.6,2250.8,-114,-349.2,-540,7.2,109,100.8,45.3,-35.5,-115.1,19.1,-30.7,152,7.8,-10.9,55
common_voice_sw_38021900-04-010_0002,526.9,885.8,2021.9,2,-161.3,-345.9,-10.4,132.4,-66.9,8.6,-37.5,-12,6.7,17.4,-93.3,10.4,5,-1.9
common_voice_sw_38021900-04-010_0003,553.4,2117.1,2450.2,-32.8,16,-11.2,-80,-77.4,-13.6,-13.7,-100.8,66.3,-40.2,-93.5,30,-23.7,-108.6,3.1
common_voice_sw_38021900-04-010_0004,665.4,1650.6,2553.5,-123.9,304,-123.9,-46.2,-99.2,-122.4,21.8,116.5,124.4,-10.7,10.3,-15.1,-11.8,19.5,-20.1
common_voice_sw_38021900-04-010_0005,497.4,853.5,1630.4,80.4,-6.6,-142.9,-24.4,-10.9,-53.5,28.4,0.9,28.4,-5.3,0.4,-7.3,19.7,2.7,-21.1
common_voice_sw_38021900-04-010_0006,686.6,1433.2,2478.1,-32.3,-209.6,-271.3,-7.9,115.1,172.7,40.6,198.7,33.8,46,193,242.7,32,150.5,399.8
common_voice_sw_38021900-04-010_0007,541.5,1874.6,2441.8,-3.5,-148.3,40.1,-33.3,-24.1,22.3,8.8,-11.1,-18.7,-2.7,21.2,-23.2,14.5,10.2,-18
common_voice_sw_38021900-04-010_0008,521.5,1920.6,2442.1,-49,-253.2,48.6,-39.5,-253.3,-25.7,5.2,-27.9,16.5,17.3,204.3,0.5,15,196.5,8.5
common_voice_sw_38021900-04-010_0009,490.9,1985.8,2360.8,-2.7,-94.5,-53.7,-19.1,-155.4,18.7,-10.8,-75.9,-70.5,-8.1,-31.3,-8.8,-6.7,-20.8,-22.8
common_voice_sw_38021900-04-010_0010,686.6,1213.9,1779.8,-121.3,-181.2,18.2,-86.3,-78.2,-24.4,-24.2,-46.7,-8.7,21.4,70.2,-8.4,41.1,113.9,-6.2
common_voice_sw_38021900-04-010_0011,611.1,1100.9,1575,133.7,187.6,171.3,-26.4,21.1,37.3,0.4,-58.3,-124.7,9,54.9,-49,-1.4,38.3,56.2
common_voice_sw_38021900-04-010_0012,729.5,1662.6,2990,-42.5,90.5,-107,-35,-21.2,-280.5,34,5.5,-135.3,-3.8,-17.1,-14.9,18.6,1.8,-101.5
common_voice_sw_38021900-04-010_0013,822.6,1569.9,2947.2,-107.6,-172.8,45.8,-8.9,-74.1,104.4,-34.6,-40.6,-118.8,-26.9,-9,55.8,4.5,-5.7,45.8
common_voice_sw_38021900-04-010_0014,894,1828.3,2511.5,94.9,-33.7,-264.3,-23.7,4.5,-18.9,36.2,-8.1,-25.4,-11.5,-6.7,50.4,14.8,5.2,16.3
common_voice_sw_38021900-04-010_0015,384.8,1743,2208.6,134.8,195.1,-40,-69,-78.5,34,20.5,-20.1,25.6,10.3,79.3,-16.9,-11.6,-38.1,41.6
common_voice_sw_38021900-04-012_0001,445.9,2360.1,3073.7,-103.7,-113.2,-224.2,-16.3,-80.5,-180.1,7.3,-10.8,-76.1,3.7,-4.6,-88.1,5.1,0.2,-69.2
common_voice_sw_38021900-04-012_0002,740.9,1807,2758.5,-163.5,73.6,554.6,-60.3,-94.7,-362.2,0.6,19,-59.3,25.8,4.7,173.3,10.5,12.8,-113.9
common_voice_sw_38021900-04-012_0003,914.7,1241,2351.5,22.2,300.7,9.4,-39.2,-162,-347.5,19.6,-207.7,-557.9,-15.4,-43.1,-80.5,10.3,77.9,166.2
common_voice_sw_38021900-04-012_0004,495.9,1935.2,2596.9,103.2,836.4,371.3,-15.3,-142.7,-119.2,12.7,-298.2,-72.7,31.3,241.4,-93.2,2.7,43.1,-33.4
common_voice_sw_38021900-04-012_0005,564.3,1446,3362.4,-102.9,2.4,-11.1,-69.2,48.4,47,-16.2,36.3,42.9,-8.2,28.7,-1.2,5.1,35.8,5.8
common_voice_sw_38021900-04-012_0006,382,869.4,1427.1,-8.6,115.1,-2.7,-67.1,35.7,123.4,45.9,-133.2,76.3,-10.6,4.6,8.7,14.4,20.9,-77.9
common_voice_sw_38021900-04-012_0007,496.5,1837.6,2985.4,-18.6,63.4,107.2,-7.1,22,-15.2,8.6,54,22.3,14.5,26.6,-0.5,9.4,37.8,0.2
common_voice_sw_38021900-04-012_0008,494.4,1861.6,2518,33.5,-165.7,4,-29.1,-50.3,4.4,-4.2,-0.6,98.6,-15.6,25.6,35.1,3,63.4,14.9
common_voice_sw_38021900-04-012_0009,677.2,1755.6,2719.2,-58.6,70.2,-82.5,-86.2,-1.8,-40,35,9.5,-71.4,-12.2,7.6,-36.7,6.7,5.6,19.2
common_voice_sw_38021900-04-012_0010,629.7,1816,2525.4,55,-257.2,-17.2,-63.9,38.9,-468.3,23.8,-80.2,-242.3,-13.2,-36.6,-226,9.9,-2.7,-33.2
common_voice_sw_38021900-04-012_0011,507.7,2397.5,2833.8,60.5,-60.2,-174.5,87.6,-63.1,-176.7,91.7,62.2,34,10.1,-33.4,-41.1,-36.4,21.4,82.3
common_voice_sw_38021900-04-012_0012,691.1,1655.9,3025.2,-135.8,68.3,-56.5,-62.8,-25.1,-38.2,2.3,14.8,-14.8,-17.2,-7,2.5,-1.3,15.6,-17.8
common_voice_sw_38021900-04-012_0013,506.6,1078.4,1805.6,59,14.3,-354.4,-6.6,372.6,183.6,-63.2,-237.3,-153.1,46.1,98.7,80.2,-29.3,-66,-30.5
common_voice_sw_38021900-04-012_0014,536.2,1482.9,2696.7,-113.4,11.5,-125.2,-80.2,-56.4,-90.7,33,17.7,143.3,-34.5,9.9,-153.8,-1.3,15.6,142.5
common_voice_sw_38021900-04-012_0015,412.9,866.7,2444.8,-43.5,-157.4,-170.4,-36.7,18.2,-53.4,-26.4,-19,-92.4,-22.4,28.7,-19.6,-12.2,12.2,-4.2
common_voice_sw_38021900-04-012_0016,449.4,2391.9,2958.5,27.1,143.4,21.5,-82.6,-111,-28.3,-6.5,68.1,22.4,-9.4,64.6,25.1,-12.1,20.2,-15.9
common_voice_sw_38021900-04-012_0017,361.8,1871.9,2657,25.3,194.9,-94.6,-42.3,-305.7,-73.9,-18.9,641.1,134.9,-6.4,-77.7,-57.6,-7.6,-161.3,-40.9
common_voice_sw_38021900-04-014_0001,567,1460.8,2008,70.6,-247.6,-501.4,-14.4,-354.6,-14.1,-2.2,91.1,40.4,-4.4,134.7,-78.4,6.7,4.9,-27.5
common_voice_sw_38021900-04-014_0002,495,2230.2,2588.2,-10.2,-69.9,-63.2,-0.3,-293,-32.9,-6.3,-183.8,-87.3,-4.1,-124.9,47.9,5.3,-136.5,-31.9
common_voice_sw_38021900-04-014_0003,424.5,2210.5,2711.9,-3,-23.8,-99.8,-88.9,-303.6,-39.6,-25.5,-51.7,-23.9,-23.9,19.8,-15.5,-21.2,50,-49.9
common_voice_sw_38021900-04-014_0004,295.8,2181.4,2754.3,-12.4,-336.9,-18.6,-13.3,-147.3,11.6,7.7,-44.2,17.8,0.5,25.5,-16.7,5.3,67.3,-5.5
common_voice_sw_38021900-04-014_0005,263.9,2007.3,2719.5,-10.5,-19.1,-32,-69.9,-663.2,-132.3,33.6,-186.5,-26.4,17.8,18.8,63.6,-19.7,39.9,41.7
common_voice_sw_38021900-04-016_0001,677.9,1418.8,1876.4,-162.3,-35.4,121.7,-89.9,16.1,59.5,-49.1,-232.9,-65.7,38.4,-28.1,-25.9,5.1,30.3,-33.9
